question,precision@k,recall@k,mrr,ndcg@k,ap@k,retrieval_time,input_tokens,retrieved_docs,relevant_docs
Quali sono le informazioni che il sistema compila automaticamente quando si inserisce una geometria nelle zone 12 e 24 miglia?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['dcb5e901abe027ed1b72a141fd5f4e50dfb0e6aad9573d51ee142c4e1ac06d20', '0a26e9096d33980d12b9437cbd6fd1e7bf0854a298b908473c28a0c234e3e1de', 'e504d8f1633283b26b3b0b7e68e097210075649031e40c7b0e94f98fb115f11a', 'a4cc528f0ad2122fe4a8389d656a8fc82389b6d17f50b3753d6050fbdfdacdb4', '4e7d975c2a3f24e3fed73368d8061b9d5fdcc88576f64fddbe95645b9a6ee387']",['6dc45ab4ccba7c0c78941fd813f4efdbd06048dd7f75d849e231bb893ca63684']
Quali sono gli algoritmi di trasformazione necessari per ridurre gli errori a livello di centimetri nel progetto?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['9bf7dc6fb9ff1b5bb5eb8bef1bc14500435faa7ac1a35e91d139cef14564adf0', 'ad2a22a45df632d86081c1304827eb2ab5a541beab018cf76cf16c637e035136', '6f2cddd1ce454a905b4810ba896ba38a4e8371f3cf8c86a21c2b725fead59ac8', 'cf82209ccfe3ba16416cb476334299d167c7b156500bdb3e72cab0801a6cec63', 'a7b756e4bbd6e51cc94085f936e53618496e50f41adfdd87af96b378a14426c1']",['9bf7dc6fb9ff1b5bb5eb8bef1bc14500435faa7ac1a35e91d139cef14564adf0']
Quali sono le applicazioni specifiche del Template per la redazione di una carta archeologica?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['f250624262785a9a8e19f1bd116d2d250a0a0a969cff5329a19609b52ac7923f', 'e22532d0d7294625f663c59de5644a7afcc6d50ea110199e9f4afd195e6bc3b7', 'b8f49fb129265bd0541e66913007df32ae6856b10365f00c454d81cb50cca35f', '2307032e12f70a83717fe28eedd0d26ccc1b7bc6c9bdd5220588a6508dc2bfa5', 'a23cb2162d9d60442b0af2f64f5aefd532385989a11e2a6664c9fd5853b9a635']",['01ada66ede1d59fb46db9b4eb7cbd956e394eb340f817cae8710e57a6a55fda3']
Come posso stampare i diversi tipi di geometrie MOSI?,0.2,1.0,0.5,0.6309297535714573,1.0,0.3577737659215927,2,"['d47ade0db2d9cb8f863f8f38c359cf10082187d672f229da9f3d6aad83f73dbf', 'c9f8a088d344315bf90ab745ed095c871fea36ee2e486160023871e38aa5be1f', '6bf9350a645455b87777fa698745cd746f07906535a58fca21157eeba53b17ef', 'ae835ed589c357f2e60b10ed5eca25dd97ceeffc0b8cc8cbb6c9ae31295a8956', 'd8a15444f48ee4e71b5b53270763390f7a7c86812b15b8c76ed1d4e3aa675429']",['c9f8a088d344315bf90ab745ed095c871fea36ee2e486160023871e38aa5be1f']
Dove posso scaricare il template GNA per inserire i dati delle ricerche archeologiche dirette dal Ministero della Cultura?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['956804ce542b9995085efb22d6dd2a854418f5d0129ce2c50a65dba579a4d827', '347611b33d76adb1305b3f34e616e566afeffc5ab00e6ee3dc2559d93c938207', 'fcd62a96afde9ed05fc0afedaa3c40ab40097604b658475648ca00daa5427a09', '180918fb4690ad6ce54a7a675fa6ef6fad010bfd896787097a7ec9454a4fdda0', '14e317f989af379b84a282fabcbc12c599be8650fc4f04764a7faf1c30362b1f']",['956804ce542b9995085efb22d6dd2a854418f5d0129ce2c50a65dba579a4d827']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['ea7231cdb35402d001b31323564f7133818550ceb928eb99a73e7cd27772911d']
Quali sono i casi d'uso per l'inserimento di MOSI esterni all'area del MOPR?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['9907c836f44202fd667bb8b8c849d276c95a1fa5bad2df5320704899d70f8006', 'd49dc2df94454a9e48570ccd6f957263c397eb5d0ce544ad92952ac2135c9e68', '3f6f890e027f375d0566dc0822ddfb7d565f8fb333d29bb9cbeb0afa2d4cb71a', '8d64cd4b8858d806e70371292278305f5b1852362397fd2705b303ce831d90b4', 'fa3f906ed0ce323b7a0e90513ce6530f7baee75ba6ce32011cf46d83ed5ee8b1']",['9a57b37424e5b1433269b5824b899aff985fe0dc4899e6e63800b677c99fda98']
Come posso creare un Authority file RCG in SiGECweb?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['ff3b55a086d38e1e2723a6b81a0684c84381087b9afe9d99a25604e178bb26cd', '44d0ead498251bf54a9920403670f16f060d0eeb61343b1500010a515c1ac12d', '810bcaea52931693bbeb50ce588a552ab9a785f92c2cdc1c2c5e22d96a8f0904', '7fe080e2dc13388150fdfad379dc49039356ce72dd784eb63b3dbfe486549874', '7545a7d8079565d1d0b0745a73b20de76bd93020931f91e0379b9d832fc5b7bd']",['2be728bba8178001b1e3356c69a8b4c19b2147befc303010fbe44810cac121da']
Qual è l'obiettivo del caso d'uso descritto nel testo?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['648b34f9f9279bfbee897b94ab885bf53c6b056d90581d558a97f31adc17a6a4', '9fc76dc92aadad25af50576dc0e0772b9ffddaaa19d00c7579409f89b0f83e55', 'd49dc2df94454a9e48570ccd6f957263c397eb5d0ce544ad92952ac2135c9e68', 'b8f49fb129265bd0541e66913007df32ae6856b10365f00c454d81cb50cca35f', '9907c836f44202fd667bb8b8c849d276c95a1fa5bad2df5320704899d70f8006']",['3bb811d46be99528927e00c10f8dba90f6f52e18e70f21cf4850e8a095fbceef']
Qual è la struttura dei vocabolari nel progetto RCGC?,0.2,1.0,0.5,0.6309297535714573,1.0,0.3577737659215927,2,"['4f922690167183856a2ffb86f09ae8bd9e696c8971188345f4d9f7b4aed0c23e', '9dd65738201896c648a851f691382035b71c16a44f9f24d04807450f51e24861', '1c6dd37dd71674b6f2a983b64c1755682f08360d73214b39778ea3c4f6ecb82a', '50faf2f8c0b87f308281d0512d116588fd2750efcd4ef07822d6de5aa9bb7277', '7171050e47124c1ca0f0d5dba62e4c1c86592c594a049be520d36a525595184d']",['9dd65738201896c648a851f691382035b71c16a44f9f24d04807450f51e24861']
Quali sono le sezioni del manuale operativo del Geoportale Nazionale Archeologia per stampare le mappe?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['1213510cce0fb55391aa5e9e3d11ed51a76505799cf1bb8de403e7480c476f1b', '2c528252d9c1d782b1496ce5c15dfbf1bd991c00d2103d3e2ed4ade69df5d2fe', 'e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9', '0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1', '66ca28275a4e2dc4b7c3d8ab8dcf145a00b38d952fe62c62389b788aaabac406']",['26286157ddf6326eccf9f56153885b51c61b1d4e84921507365e3258147150cd']
Qual è la struttura del vocabolario GPBB nel progetto?,0.2,1.0,0.5,0.6309297535714573,1.0,0.3577737659215927,2,"['c23cf4e5dcaf6e72f5603ce22be43c7e8560766db26261bc6cec14315bbbf5fd', '3bea4785f4226072a63aeca5ccff8fd8269d8ff0287fd1e912eaa2535fe1fc65', 'fee90d0d586cbcd268775c75ba8c03fa7c46db361695af88ba0d17d4e0595e5a', 'e76bd91bd01c4d4fefde99d7b3964f5ba8f1d49788965f0bb56a4150810562b3', 'aeea88280431fe02810f2bbcfc6000daf5ea0271ba45b041391ae2711d8f771f']",['3bea4785f4226072a63aeca5ccff8fd8269d8ff0287fd1e912eaa2535fe1fc65']
Come posso georeferenziare rapidamente un PDF progettuale utilizzando QGIS?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['c5b5bb45cf42e5f4cfd978e7f3360c82a3755767a4bde2af511b4b9e2900fba1', '0b33e4ae55f934d7c47aa23745b8a18e3b94713adc65d9707c756e8c5eb5cd57', 'ce7b79c89b4720dcbf3c668476d1f58802cf308ff77f01820bd81058174ebf1e', 'd3ee530212535d9ddd7e38484f89d6e17c3ccad70ccb71314c4d94e7de79ab5b', '5294cebf136e31b93c52059a4b975dab1d44abaa704b23078f7e60dccc82f2c8']",['12d50880a90273dd190917dbdf0841d407f4b3617b163a3433db6737e75ab6a1']
Da dove derivano i dati alfanumerici legati al posizionamento sulla mappa del progetto?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['b0f499eee4b4ba30e63fe2d5ad3409a818fd3875f6ef4dd813f848536a04e1b3', '4c1cb5eec949b1de626051ca1b26a9487ab87a2a7a757db965237a69858987b6', 'a2c32641ad9c943c1de114145c8d22137491a1d4efe2721f2a02856b2d7df6e7', '0f871f84ec5488549862e995c52d90c067e9d07b1532be947a6dbd734c5d5c0a', 'e3144c0815c9966cf192e7db06b3571e9d0db2eff81bcb1c079b29f1d3c84d14']",['b0f499eee4b4ba30e63fe2d5ad3409a818fd3875f6ef4dd813f848536a04e1b3']
Come posso stampare una mappa dal Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1', '1213510cce0fb55391aa5e9e3d11ed51a76505799cf1bb8de403e7480c476f1b', '4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40', '15f0a925200ca4399cb04eaa355cc6a3ebff4182212496134675d7d6cfff95f3', '66ca28275a4e2dc4b7c3d8ab8dcf145a00b38d952fe62c62389b788aaabac406']",['f4ef1e2a9d5d9278cdca606577b88afcde97b47af20171aadf96c3bf11a8cc72']
Quali sono le informazioni da inserire nei layer collegati per compilare il MOPR?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['c17f314cc8976fb204ec20b915a9698a41289ec03175f1a2c2daa4512c960110', '251e7e2f835cde8e903b96878399b96b02e9dce51036aa145a185ede747162ea', '7d2bfa62b0ba522f303b299609eb63eb11f7e6c7a436ce2533f00c9521d10cf6', 'ed02055715b9190f54137b4a04f5ba744d9fcbcd242e1e0104b28535ab72e112', '455c83356b68a4a540976177d642b16c6fdef7d3c541c051cb865cc0e3e197fc']",['9a7e959b5842d0eff4b1fcc248d1060edc6ac6bcb638037e3292631970321573']
Quale sistema di riferimento è stato scelto per i dati del progetto?,0.2,1.0,0.2,0.38685280723454163,1.0,0.3577737659215927,2,"['76e98cb6c8b5da6a595cad060b6c46b435109447f630c55bd2fed029738ae220', 'a906bc69ff55972a86261cd30f63c62a54bbc3ed863134ce8f3b1a8d7c380977', '58218da3b5b2e2d81c41237269e87aa9ef776e2932597c247f50710371c22dda', '663cd9685a632bff24ddaa87e272f244d6d45d61857389ecaae4a7321d47a235', '302c91bbceb377424a0a15de5ac89501089a283a5ba0a3b8dd6a213e2c55d45b']",['302c91bbceb377424a0a15de5ac89501089a283a5ba0a3b8dd6a213e2c55d45b']
Qual è la procedura per inserire la geometria dell'indagine archeologica all'interno dell'area individuale nella scheda del progetto (MOPR) nel Geoportale Nazionale Archeologia?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['738cb0b7d4d4d872cb4aaee0a27483b5bd5aacfc8f51fc7dc96df086c943d41b', 'cf9023e6b8818353c00bedbc1f784eddc1b89049f70af04637c250b5bc377094', '078a7400b14fa743d304d6c509ed988f9b6acb3f6fcf6172c8f6017b7c2af9d5', '3ae504f98a39d0139ed9e37d400d88dcae71737c21afd1800d03c8ffcaf248d5', 'd0f1c2a73951402110dd854408c3d794dff7a8279945505efdaa50a0dced52df']",['738cb0b7d4d4d872cb4aaee0a27483b5bd5aacfc8f51fc7dc96df086c943d41b']
Qual è l'applicazione specifica dell'archivio digitale ottenuto con il Template per la redazione di una carta archeologica?,0.2,1.0,0.5,0.6309297535714573,1.0,0.3577737659215927,2,"['f2760792b3117c16fc0b622695aceae414adf062e80aa022fcd71cc99ce0a3c6', '987ff946532440b4a3a8fe91fb455a4ed8e57742e9cf6efe9529d51b88fa9078', '5b1c01b2e22df87e58856e03f0e5aacc4221daecec68b8981216bff337823b02', '51013404b4eeb46497d9ac8d36422067e1b479207a451eb9d332b0e16595405e', 'a46b12f15b86d414c0bd38e805d50218ebb2fea514eb5e0082cca38655b9f5be']",['987ff946532440b4a3a8fe91fb455a4ed8e57742e9cf6efe9529d51b88fa9078']
Qual è il livello di dettaglio raccomandato per la vettorializzazione dei resti archeologici nel progetto?,0.2,1.0,0.25,0.4306765580733929,1.0,0.3577737659215927,2,"['f667f01b755bc783f19a92a2eb5e3ab40f1dea826121143a5be38ed5fc645da8', 'ddf00b4d0d6b591d40d4cddf7c615f22deb752cc0089b946f0ef7eb8e4808e52', '29a2c6823e03da820efdfcc4c79d6812cfc02d309d56bd2a45e6e1678d8f7f73', 'df2ba974443fe847318c0af95f43498bc5b633f3bd842cf863b1d4058cbbf6eb', '8dcf04df0b7d00b8e2fabc0336a1db7e0914fac31da281154e61c6331b1d0da5']",['df2ba974443fe847318c0af95f43498bc5b633f3bd842cf863b1d4058cbbf6eb']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['04a1fbed4d329bd34108862b3a10ed0e0ac5962736dafd117cea010ed512d63e']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['e1550abf64f1fee96aede287c542c7731989ff4513e16dea41845546cacfe584']
Come posso compilare il MOPR e caricare i MOSI da GNA utilizzando il plugin?,0.0,0.0,0.0,0.0,0.0,0.2315353900194168,2,"['a2c32641ad9c943c1de114145c8d22137491a1d4efe2721f2a02856b2d7df6e7', 'c4574e0b8053e1064eba5054799b4371719afa182913784f3d825dcde2212b76', '5177f61d4c7c13621a010e4b9b0452ddccfdda74057471eba7170519f3d08661', 'c4deb43b071317450b58c8f0e929e26d602dbf47d2e271456b2cf3ab21061a74', '873d010a106ec69526b7ab3cfed87e740b728904adfe4acf8769a0ce36900cde']",['6c5c1af0567b412b3dd4ed657efe1820b14d74df1cd2a8d0101805ca1b658b4b']
Come posso stampare i MOSI (Catalogo dei siti) nel Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.2315353900194168,2,"['6bf9350a645455b87777fa698745cd746f07906535a58fca21157eeba53b17ef', 'bc7ce40aad15905c4aaaa383849d93fcd7d272ec51aa66bea4d7122d80bea8f3', '421aae735a5464218992e6bdcad53649aa8765827f8b2e31810f53c3fe22598f', 'b67cb9386b2814b53207fef5cb69ba14a60f1522a88a8adebe6a36254c5e7c9a', '4f7c93bd66a0188abe7a180128e15b24204b025535d3e52f4a050973c8cc6bdd']",['31cd440e9a17723253e3df139d0129275fa93c01b0d37c7dcd1b208a937de0de']
Qual è il primo passo per iniziare la georeferenziazione in QGIS?,0.2,1.0,0.25,0.4306765580733929,1.0,0.2315353900194168,2,"['0ee6450c1efaba2a57123eed1e3e7aa038f87e040b09bada6f07074854465d1d', 'f7543e984f7c5606a6e403627342d8c2c9d007c22e8b86bc1efb94641607c865', 'af2ef0b237ac1c66a852ea8d46b82b4b8595d3ae9d775e5b4ea3f10fe8f8c078', '23a270f46ca7787ba101a2744517ce4f6cba84a184af2e2f3a9835362e2e941b', 'a7b756e4bbd6e51cc94085f936e53618496e50f41adfdd87af96b378a14426c1']",['23a270f46ca7787ba101a2744517ce4f6cba84a184af2e2f3a9835362e2e941b']
Quali sono le limitazioni nella localizzazione e quote del MOSI per le suddivisioni amministrative in mare?,0.2,1.0,1.0,1.0,1.0,0.2315353900194168,2,"['6fdf4d40d2a457dcf0341049b6ad8a62bec7763a909180fd63bd868eb8583a6c', '2a1633aeee4e3160170c76c3ddd1d0760d8219223398f362fdd58b416a17fae1', 'e504d8f1633283b26b3b0b7e68e097210075649031e40c7b0e94f98fb115f11a', '0a26e9096d33980d12b9437cbd6fd1e7bf0854a298b908473c28a0c234e3e1de', 'dcb5e901abe027ed1b72a141fd5f4e50dfb0e6aad9573d51ee142c4e1ac06d20']",['6fdf4d40d2a457dcf0341049b6ad8a62bec7763a909180fd63bd868eb8583a6c']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.2315353900194168,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['e4b2bbcf4e2b16ceea0fa686e1d4c4ac440d6960b6a6e37cf5b6681efa6d7b56']
Qual è la funzione del layer multipoligonale DSC nel conferimento dei dati al GNA?,0.2,1.0,1.0,1.0,1.0,0.2315353900194168,2,"['9a40968fe5654526a2877ed2792a913a365bdebbb4d01dfd445d9360b1858350', '1a1d6840ea5a2cea8cf60a9707928fff59c99c79dc2080ecbaa8ad9ee11d739b', 'c85ad1af8c60746165b2bffad5ba282ced607e6299fd19e66dd040995d5c78e0', 'b4c22e4e434f34d4b8e30ae7ac5a8319a2b8ebca89b157b994c0267daa87a760', '996fd60d994db30f15b222f06cabe16715b823f2688597c3bf52286d27ef70bc']",['9a40968fe5654526a2877ed2792a913a365bdebbb4d01dfd445d9360b1858350']
Quali sono le raccomandazioni per scrivere testi lunghi da importare in QGIS?,0.2,1.0,1.0,1.0,1.0,0.2315353900194168,2,"['627a2b46b83c20a062aa2b213c7374267b663d09b245315aab055ffc8aef6203', 'f3c05ce864e51e0775503dfaf4f5bb7d4bda9e6323cc7a701ed64bc6e3d09c33', 'c2a2e419c1086a4e5fe7615a1b12c557879673cb4a0f93825d94aa0e032f74df', 'ca15d093a2f3da90a3af5326562e9de0e54f0a21902e5cb238b98c1e884649ab', '7d3a1a5351c0cb761efd979c5709c09a374683959ac02eb937f6672f52d6b74a']",['627a2b46b83c20a062aa2b213c7374267b663d09b245315aab055ffc8aef6203']
Come posso richiedere un codice univoco per il MOPR?,0.2,1.0,1.0,1.0,1.0,0.2315353900194168,2,"['f5a0502302a1d92b0e7bdb81a125814d98d699ede72c7a2d9a4bfc5ab0b76ddc', 'e63b6622992f2f6bf856fdeea5f3261d3c0fe93cd1054e8d52ad7925f602df28', '870c562381362b58091716fd972ad22aaf44a0842656476b3b816eabc824b42c', '810bcaea52931693bbeb50ce588a552ab9a785f92c2cdc1c2c5e22d96a8f0904', 'ff5958cc9c45494f9b11c962d364e759e942535923d649ef38ef18d0e47718ad']",['f5a0502302a1d92b0e7bdb81a125814d98d699ede72c7a2d9a4bfc5ab0b76ddc']
Qual è il caso d'uso per un sito pluristratificato?,0.0,0.0,0.0,0.0,0.0,0.2315353900194168,2,"['9fc76dc92aadad25af50576dc0e0772b9ffddaaa19d00c7579409f89b0f83e55', 'bde51ab31a320e1569a806b38d23c695e800ac5554af20e16c2cc82fe484718a', 'b4d95f5be000f541669c491d4412d01606d5b97bb3cecd83f9828bc09bf7f7b1', '704ef3eceab93e35907caa133208455820d408f90ea62a1b79bb5c8e9a92252c', '99081755e637e40dcb9d112ec019dfd53c7987945d18b161d6008de2d89bcb89']",['82e93529d5d248a8a38910e077ae0a8e1414a321c0a67788bfd7ed2ef4647aa0']
